StationNames,Year,Month,Rainfall,StationIndex
CoxsBazar,1972,3,0,8
CoxsBazar,1972,4,52,8
CoxsBazar,1972,5,124,8
CoxsBazar,1972,6,288,8
CoxsBazar,1972,7,324,8
CoxsBazar,1972,8,839,8
CoxsBazar,1972,9,56,8
CoxsBazar,1972,10,440,8
CoxsBazar,1972,11,1,8
CoxsBazar,1972,12,0,8
Dhaka,1972,1,0,9
Dhaka,1972,2,11,9
Dhaka,1972,3,12,9
Dhaka,1972,4,248,9
Dhaka,1972,5,340,9
Dhaka,1972,6,353,9
Dhaka,1972,7,249,9
Dhaka,1972,8,380,9
Dhaka,1972,9,110,9
Dhaka,1972,10,105,9
Dhaka,1972,11,0,9
Dhaka,1972,12,0,9
Dinajpur,1972,1,0,10
Dinajpur,1972,2,0,10
Dinajpur,1972,3,4,10
Dinajpur,1972,4,0,10
Dinajpur,1972,5,0,10
Dinajpur,1972,6,171,10
Dinajpur,1972,7,257,10
Dinajpur,1972,8,371,10
Dinajpur,1972,9,130,10
Dinajpur,1972,10,52,10
Dinajpur,1972,11,0,10
Dinajpur,1972,12,0,10
Faridpur,1972,1,0,11
Faridpur,1972,2,70,11
Faridpur,1972,3,2,11
Faridpur,1972,4,177,11
Faridpur,1972,5,257,11
Faridpur,1972,6,246,11
Faridpur,1972,7,203,11
Faridpur,1972,8,366,11
Faridpur,1972,9,259,11
Faridpur,1972,10,62,11
Faridpur,1972,11,0,11
Faridpur,1972,12,0,11
Ishurdi,1972,1,0,14
Ishurdi,1972,2,0,14
Ishurdi,1972,3,0,14
Ishurdi,1972,4,27,14
Ishurdi,1972,5,130,14
Ishurdi,1972,6,159,14
Ishurdi,1972,7,217,14
Ishurdi,1972,8,228,14
Ishurdi,1972,9,138,14
Ishurdi,1972,10,45,14
Ishurdi,1972,11,0,14
Ishurdi,1972,12,0,14
Jessore,1972,1,0,15
Jessore,1972,2,4,15
Jessore,1972,3,7,15
Jessore,1972,4,37,15
Jessore,1972,5,22,15
Jessore,1972,6,110,15
Jessore,1972,7,169,15
Jessore,1972,8,372,15
Jessore,1972,9,131,15
Jessore,1972,10,17,15
Jessore,1972,11,1,15
Jessore,1972,12,0,15
Khulna,1972,1,0,17
Khulna,1972,2,0,17
Khulna,1972,3,0,17
Khulna,1972,4,64,17
Khulna,1972,5,121,17
Khulna,1972,6,0,17
Khulna,1972,7,137,17
Khulna,1972,8,0,17
Khulna,1972,9,0,17
Khulna,1972,10,0,17
Khulna,1972,11,0,17
Khulna,1972,12,0,17
M.court,1972,1,0,19
M.court,1972,2,59,19
M.court,1972,3,10,19
M.court,1972,4,46,19
M.court,1972,5,123,19
M.court,1972,6,470,19
M.court,1972,7,454,19
M.court,1972,8,722,19
M.court,1972,9,73,19
M.court,1972,10,88,19
M.court,1972,11,6,19
M.court,1972,12,0,19
Mymensingh,1972,1,0,22
Mymensingh,1972,2,20,22
Mymensingh,1972,3,35,22
Mymensingh,1972,4,89,22
Mymensingh,1972,5,127,22
Mymensingh,1972,6,625,22
Mymensingh,1972,7,418,22
Mymensingh,1972,8,130,22
Mymensingh,1972,9,204,22
Mymensingh,1972,10,6,22
Mymensingh,1972,11,0,22
Mymensingh,1972,12,0,22
Rajshahi,1972,1,10,24
Rajshahi,1972,2,13,24
Rajshahi,1972,3,0,24
Rajshahi,1972,4,19,24
Rajshahi,1972,5,88,24
Rajshahi,1972,6,208,24
Rajshahi,1972,7,109,24
Rajshahi,1972,8,248,24
Rajshahi,1972,9,175,24
Rajshahi,1972,10,51,24
Rajshahi,1972,11,0,24
Rajshahi,1972,12,0,24
Rangamati,1972,1,0,25
Rangamati,1972,2,2,25
Rangamati,1972,3,0,25
Rangamati,1972,4,37,25
Rangamati,1972,5,105,25
Rangamati,1972,6,450,25
Rangamati,1972,7,315,25
Rangamati,1972,8,309,25
Rangamati,1972,9,100,25
Rangamati,1972,10,53,25
Rangamati,1972,11,4,25
Rangamati,1972,12,0,25
Rangpur,1972,1,4,26
Rangpur,1972,2,42,26
Rangpur,1972,3,53,26
Rangpur,1972,4,31,26
Rangpur,1972,5,100,26
Rangpur,1972,6,239,26
Rangpur,1972,7,325,26
Rangpur,1972,8,0,26
Rangpur,1972,9,201,26
Rangpur,1972,10,118,26
Rangpur,1972,11,1,26
Rangpur,1972,12,0,26
Sandwip,1972,1,0,27
Sandwip,1972,2,16,27
Sandwip,1972,3,14,27
Sandwip,1972,4,45,27
Sandwip,1972,5,253,27
Sandwip,1972,6,1055,27
Sandwip,1972,7,624,27
Sandwip,1972,8,1029,27
Sandwip,1972,9,148,27
Sandwip,1972,10,326,27
Sandwip,1972,11,3,27
Sandwip,1972,12,0,27
Satkhira,1972,1,0,28
Satkhira,1972,2,15,28
Satkhira,1972,3,0,28
Satkhira,1972,4,8,28
Satkhira,1972,5,0,28
Satkhira,1972,6,0,28
Satkhira,1972,7,0,28
Satkhira,1972,8,0,28
Satkhira,1972,9,0,28
Satkhira,1972,10,0,28
Satkhira,1972,11,0,28
Satkhira,1972,12,0,28
Srimangal,1972,1,0,30
Srimangal,1972,2,42,30
Srimangal,1972,3,90,30
Srimangal,1972,4,234,30
Srimangal,1972,5,269,30
Srimangal,1972,6,0,30
Srimangal,1972,7,447,30
Srimangal,1972,8,202,30
Srimangal,1972,9,191,30
Srimangal,1972,10,36,30
Srimangal,1972,11,2,30
Srimangal,1972,12,0,30
Sylhet,1972,1,4,31
Sylhet,1972,2,40,31
Sylhet,1972,3,110,31
Sylhet,1972,4,445,31
Sylhet,1972,5,384,31
Sylhet,1972,6,829,31
Sylhet,1972,7,826,31
Sylhet,1972,8,479,31
Sylhet,1972,9,353,31
Sylhet,1972,10,302,31
Sylhet,1972,11,0,31
Sylhet,1972,12,0,31
Barisal,1973,1,0,2
Barisal,1973,2,12,2
Barisal,1973,3,81,2
Barisal,1973,4,42,2
Barisal,1973,5,508,2
Barisal,1973,6,502,2
Barisal,1973,7,392,2
Barisal,1973,8,266,2
Barisal,1973,9,398,2
Barisal,1973,10,308,2
Barisal,1973,11,171,2
Barisal,1973,12,197,2
Bhola,1973,1,0,3
Bhola,1973,2,0,3
Bhola,1973,3,99,3
Bhola,1973,4,53,3
Bhola,1973,5,500,3
Bhola,1973,6,0,3
Bhola,1973,7,445,3
Bhola,1973,8,305,3
Bhola,1973,9,0,3
Bhola,1973,10,0,3
Bhola,1973,11,197,3
Bhola,1973,12,151,3
Bogra,1973,1,12,4
Bogra,1973,2,63,4
Bogra,1973,3,10,4
Bogra,1973,4,95,4
Bogra,1973,5,259,4
Bogra,1973,6,835,4
Bogra,1973,7,350,4
Bogra,1973,8,194,4
Bogra,1973,9,584,4
Bogra,1973,10,60,4
Bogra,1973,11,27,4
Bogra,1973,12,27,4
Chandpur,1973,1,0,5
Chandpur,1973,2,0,5
Chandpur,1973,3,0,5
Chandpur,1973,4,54,5
Chandpur,1973,5,454,5
Chandpur,1973,6,182,5
Chandpur,1973,7,489,5
Chandpur,1973,8,53,5
Chandpur,1973,9,205,5
Chandpur,1973,10,157,5
Chandpur,1973,11,0,5
Chandpur,1973,12,0,5
Chittagong (IAP-Patenga),1973,1,5,6
Chittagong (IAP-Patenga),1973,2,8,6
Chittagong (IAP-Patenga),1973,3,14,6
Chittagong (IAP-Patenga),1973,4,142,6
Chittagong (IAP-Patenga),1973,5,457,6
