DATE,Station,Forecasted_Temperature
09/01/2022,34,32.62694739689866
09/01/2022,35,31.3956109232301
09/01/2023,1,32.16698670314657
09/01/2023,2,32.213964690642435
09/01/2023,3,32.73570964505196
09/01/2023,4,32.41123537791485
09/01/2023,5,32.04016080459304
09/01/2023,6,31.93455550173856
09/01/2023,7,33.267748044399454
09/01/2023,8,32.19660222962853
09/01/2023,9,31.66877251332888
09/01/2023,10,32.229605906735706
09/01/2023,11,32.9800882646522
09/01/2023,12,32.65731042475985
09/01/2023,13,32.0114588549776
09/01/2023,14,31.68938083610284
09/01/2023,15,32.82285386499965
09/01/2023,16,33.098197273647216
09/01/2023,17,32.17631609833576
09/01/2023,18,32.56430670953391
09/01/2023,19,31.673672838299524
09/01/2023,20,32.2683474208983
09/01/2023,21,32.32865100735652
09/01/2023,22,32.34507406680316
09/01/2023,23,32.28187650867414
09/01/2023,24,32.19271888321775
09/01/2023,25,33.23871097586226
09/01/2023,26,32.46205273880244
09/01/2023,27,32.56183050515477
09/01/2023,28,31.66627895962764
09/01/2023,29,32.59609861642294
09/01/2023,30,32.75011930371863
09/01/2023,31,32.167912683856336
09/01/2023,32,32.35952869689444
09/01/2023,33,32.055181682578606
09/01/2023,34,32.691890101269934
09/01/2023,35,31.40728497462353
09/01/2024,1,32.19832920378217
09/01/2024,2,32.23750632543693
09/01/2024,3,32.78550490861651
09/01/2024,4,32.46142687275671
09/01/2024,5,32.049453903670205
09/01/2024,6,31.93541671896239
09/01/2024,7,33.3191200841993
09/01/2024,8,32.230340452158714
09/01/2024,9,31.70102206769099
09/01/2024,10,32.25946941576092
09/01/2024,11,33.04977861357046
09/01/2024,12,32.71322129819453
09/01/2024,13,32.03701882444131
09/01/2024,14,31.7289382589936
09/01/2024,15,32.8751130960325
09/01/2024,16,33.14526119010405
09/01/2024,17,32.219155925208184
09/01/2024,18,32.59687508231618
09/01/2024,19,31.703085112244523
09/01/2024,20,32.28231584462787
09/01/2024,21,32.38901362511817
09/01/2024,22,32.36202033615533
09/01/2024,23,32.33753629987047
09/01/2024,24,32.23983780350346
09/01/2024,25,33.297234021512374
09/01/2024,26,32.496703617381506
09/01/2024,27,32.61768336999357
09/01/2024,28,31.72449816007072
09/01/2024,29,32.607990136603235
09/01/2024,30,32.786230839272484
09/01/2024,31,32.215830178119134
09/01/2024,32,32.409998062833324
09/01/2024,33,32.1150085223754
09/01/2024,34,32.7568328056412
09/01/2024,35,31.41895902601696
09/01/2025,1,32.229671704417775
09/01/2025,2,32.26104796023143
09/01/2025,3,32.835300172181064
09/01/2025,4,32.51161836759858
09/01/2025,5,32.05874700274736
09/01/2025,6,31.936277936186222
09/01/2025,7,33.37049212399915
09/01/2025,8,32.26407867468889
09/01/2025,9,31.73327162205309
09/01/2025,10,32.28933292478613
09/01/2025,11,33.11946896248872
09/01/2025,12,32.76913217162922
09/01/2025,13,32.06257879390502
09/01/2025,14,31.76849568188436
09/01/2025,15,32.92737232706535
09/01/2025,16,33.19232510656089
09/01/2025,17,32.2619957520806
09/01/2025,18,32.62944345509846
09/01/2025,19,31.73249738618952
09/01/2025,20,32.29628426835743
09/01/2025,21,32.449376242879815
09/01/2025,22,32.37896660550751
09/01/2025,23,32.393196091066805
09/01/2025,24,32.286956723789174
09/01/2025,25,33.35575706716249
09/01/2025,26,32.53135449596058
09/01/2025,27,32.67353623483238
09/01/2025,28,31.782717360513807
09/01/2025,29,32.61988165678353
09/01/2025,30,32.82234237482634
09/01/2025,31,32.263747672381925
09/01/2025,32,32.46046742877221
09/01/2025,33,32.17483536217219
09/01/2025,34,32.82177551001248
09/01/2025,35,31.43063307741039
09/01/2026,1,32.26101420505337
09/01/2026,2,32.28458959502593
09/01/2026,3,32.88509543574562
09/01/2026,4,32.56180986244044
09/01/2026,5,32.06804010182452
09/01/2026,6,31.93713915341006
09/01/2026,7,33.42186416379899
09/01/2026,8,32.297816897219064
09/01/2026,9,31.76552117641521
09/01/2026,10,32.31919643381134
09/01/2026,11,33.189159311406975
09/01/2026,12,32.8250430450639
09/01/2026,13,32.08813876336873
09/01/2026,14,31.808053104775112
09/01/2026,15,32.9796315580982
09/01/2026,16,33.23938902301772
09/01/2026,17,32.304835578953025
09/01/2026,18,32.66201182788074
09/01/2026,19,31.76190966013452
09/01/2026,20,32.310252692087
09/01/2026,21,32.50973886064147
09/01/2026,22,32.39591287485969
09/01/2026,23,32.44885588226314
09/01/2026,24,32.33407564407489
09/01/2026,25,33.414280112812605
09/01/2026,26,32.56600537453964
09/01/2026,27,32.72938909967119
09/01/2026,28,31.84093656095689
09/01/2026,29,32.63177317696382
09/01/2026,30,32.8584539103802
09/01/2026,31,32.31166516664472
09/01/2026,32,32.51093679471109
09/01/2026,33,32.23466220196898
09/01/2026,34,32.886718214383755
09/01/2026,35,31.442307128803822
09/01/2027,1,32.292356705688974
09/01/2027,2,32.30813122982043
09/01/2027,3,32.93489069931017
09/01/2027,4,32.61200135728231
09/01/2027,5,32.07733320090168
09/01/2027,6,31.938000370633898
09/01/2027,7,33.47323620359884
09/01/2027,8,32.33155511974924
09/01/2027,9,31.797770730777312
09/01/2027,10,32.34905994283655
09/01/2027,11,33.25884966032523
09/01/2027,12,32.880953918498584
09/01/2027,13,32.11369873283245
09/01/2027,14,31.847610527665868
09/01/2027,15,33.03189078913105
09/01/2027,16,33.286452939474565
09/01/2027,17,32.34767540582545
09/01/2027,18,32.69458020066301
09/01/2027,19,31.79132193407951
09/01/2027,20,32.32422111581656
09/01/2027,21,32.57010147840312
09/01/2027,22,32.412859144211865
09/01/2027,23,32.50451567345947
09/01/2027,24,32.381194564360605
09/01/2027,25,33.47280315846272
09/01/2027,26,32.600656253118714
09/01/2027,27,32.78524196451
09/01/2027,28,31.89915576139997
09/01/2027,29,32.643664697144104
09/01/2027,30,32.894565445934056
09/01/2027,31,32.35958266090752
09/01/2027,32,32.56140616064998
09/01/2027,33,32.29448904176577
